indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
3218;MIRANDA DEL CASTAÑAR               ;;1;101;125;552;509;1723;49;49;20;3333;37193;753837;4486128;245271;4486158;-60019;402911;-60024;402907;;;;;;245162;4485951;
3220;SANTA MARTA DE MAGASCA             ;;1;457;1030;679;270;998;50;50;19;3313;10037;748101;4376532;232173;4377190;-60653;393007;-60658;393003;;;;;;232064;4376984;
3221;BOHONAL DE IBOR                    ;;1;266;279;652;319;1601;49;48;24;3258;10030;284303;4405651;284303;4405651;-53106;394622;-53111;394618;;;;;;284194;4405445;
3222;PERALEDA DE SAN ROMAN              ;;1;184;200;653;330;1429;48;48;30;3256;10141;292843;4404203;292843;4404203;-52506;394543;-52511;394538;;;;;;292733;4403997;
3223;TALAYUELA                          ;INT 1992                                                              ;0;421;422;599;251;489;17;17;5;3289;10180;278885;4433145;278885;4433145;-53527;400108;-53531;400104;;;;;;278776;4432939;
3224;GARGÜERA                           ;;1;97;196;598;380;1358;48;48;29;3293;10081;251264;4433055;251264;4433055;-55451;400037;-55456;400033;DATOS MODIFICADOS DE 04/1981 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ;;;;;251155;4432849;
3225;MADRIGAL DE LA VERA                ;;1;90;148;600;360;2592;47;47;27;3281;10212;299364;4447139;299364;4447139;-52120;400900;-52124;400856;                                                                                                    ;;;;;299255;4446932;
3226;CANDELEDA                          ;;1;62;73;600;420;2437;48;48;28;3279;5047;308818;4447624;308818;4447624;-51441;400924;-51446;400919;                                                                                                    ;;;;;308709;4447417;
3227;BUTARQUE                           ;INT 1981                                                              ;0;68;68;582;560;719;9;9;4;3124;28065;444070;4464545;444070;4464545;-33930;401944;-33934;401940;;;;;;443960;4464337;
3228;PEGUERINOS                         ;;1;56;88;532;1210;1902;48;48;21;3214;28135;397035;4495690;397035;4495690;-41301;403618;-41306;403613;DATOS MODIFICADOS DE 01/1991 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ;;;;;396926;4495483;
3229;LOSAR DE LA VERA                   ;;1;71;97;599;352;;45;45;20;3287;10110;280061;4443402;280061;4443402;-53450;400641;-53455;400637;                                                                                                    ;;;;;279952;4443196;
3230;VILLAMEJOR                         ;;1;1266;1266;629;465;1208;47;47;31;3158;28013;425832;4418157;425832;4418157;-35204;395434;-35209;395430;;;;;;425722;4417950;
3231;NAVALUENGA                         ;;1;698;4104;556;753;2198;47;47;20;3208;5163;355485;4474600;355485;4474600;-44211;402432;-44216;402427;;;;;;355375;4474393;
3232;VILLASECA                          ;;1;430;432;630;474;716;47;47;24;3150;45196;429160;4423352;429160;4423352;-34946;395724;-34950;395720;DATOS MODIFICADOS DE 05/2008 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ;;;;;429050;4423145;
3233;VALDECABA BAJA                     ;;1;256;259;629;469;1228;47;47;21;3160;45168;423837;4416246;423837;4416246;-35327;395332;-35332;395328;;;;;;423727;4416039;
3234;JARAIZ DE LA VERA                  ;;1;224;265;599;260;;47;47;20;3291;10104;268465;4432150;268465;4432150;-54245;400026;-54250;400021;                                                                                                    ;;;;;268356;4431944;
3235;NUÑOMORAL                          ;;1;109;140;551;411;;47;47;22;3339;10135;738671;4474341;229338;4475427;-61118;402305;-61123;402301;;;;;;229229;4475220;
3236;LADRILLAR, EL                      ;;1;73;108;552;430;;47;47;16;3337;10108;742441;4478905;233410;4479726;-60832;402529;-60837;402525;DATOS MODIFICADOS DE 08/2009 Y 05/2011 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                      ;;;;;233301;4479519;
3237;ROMANONES                          ;;1;247;247;536;697;;43;43;21;3134;19143;498085;4488435;498085;4488435;-30121;403245;-30126;403241;;;;;;497976;4488227;
3238;HUELAGA                            ;;1;469;1022;596;262;;40;40;18;3363;10053;701922;4436960;190128;4440601;-63758;400329;-63803;400325;;;;;;190020;4440395;
