indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
5146;PUEBLA DE CAZALLA                  ;;1;476;1502;1004;180;;35;34;3;5318;41077;296723;4113053;296723;4113053;-51719;370828;-51724;370824;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION. DATOS 2016-17 EN REVISION                      ;;;;;296611;4112848;A31
5147;ZUFRE                              ;;1;584;2019;918;279;1008;26;25;5;5364;21079;728962;4195586;201223;4197833;-62348;375242;-62353;375238;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION. DATOS 2016-17 EN REVISION                      ;;;;;201113;4197629;A50
5149;CABRIL, EL                         ;INT 2009                                                              ;0;875;1937;900;241;;2;2;0;5216;14036;288412;4214639;288412;4214639;-52441;380315;-52446;380310;;;;;;288301;4214434;
5150;ROCIO, EL                          ;;1;416;416;1018;7;;20;18;0;5404;21005;722756;4111995;189695;4114765;-62933;370738;-62938;370733;;;;;;189583;4114562;
5151;PARTIDO, EL                        ;;1;291;292;1018;16;;12;12;0;5403;21005;725835;4117455;193115;4120022;-62723;371032;-62728;371028;MAXIMO 01_2015 PENDIENTE DE REVISION                                                                ;;;;;193004;4119819;
5152;FRAILES                            ;;1;26;368;991;916;1467;27;26;5;5252;23033;425800;4148625;425800;4148625;-35021;372851;-35026;372847;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;425688;4148419;
5153;QUIEBRAJANO                        ;;1;69;319;969;816;;12;10;0;5095;23019;438961;4162899;438961;4162899;-34130;373638;-34134;373633;;;;;;438849;4162693;
5155;SANTAELLA (CABRA)                  ;;1;441;613;988;200;;17;17;0;5299;14002;344719;4151790;344719;4151790;-44524;372958;-44528;372953;MAXIMOS DE 2000-01 A 2004-05 Y DATOS DE 2010-11 PENDIENTES DE REVISION                              ;;;;;344607;4151584;A16
5156;CIGÜEÑA, LA                        ;;1;148;181;1001;8;;13;13;1;5991;41012;742321;4121587;209836;4123103;-61610;371231;-61615;371227;MAXIMOS DE 2000-01 A 2004-05 Y 04_2015 PENDIENTES DE REVISION                                       ;;;;;209725;4122899;
5157;PORTACHUELO                        ;SIN DATOS                                                             ;0;36;48;1018;3;;0;0;0;5990;21040;733937;4115811;201100;4117868;-62156;370932;-62201;370927;;;;;;200988;4117665;
5158;CAÑADA MAYOR                       ;INT 1994                                                              ;0;7;97;1018;7;;0;0;0;5997;21040;728491;4113608;195523;4116012;-62539;370825;-62544;370821;;;;;;195411;4115809;
5159;SANTO TOME-GUADALQUIVIR            ;;1;1157;54970;907;;;5;5;0;5009;23080;488120;4209661;488120;4209661;-30807;380202;-30812;380158;;;;;;488009;4209454;
5161;PARTIDO NUEVO                      ;;1;217;292;1018;17;;7;7;0;5403;21005;725467;4119797;192895;4122383;-62735;371149;-62740;371144;;;;;;192784;4122180;A21
5163;VADILLO                            ;;1;13;23;949;909;;7;6;0;5950;23073;497998;4180946;497998;4180946;-30122;374631;-30126;374626;;;;;;497887;4180739;A38
5164;NACIMIENTO GUADALQUIVIR            ;;1;8;54970;928;1352;;3;3;0;5001;23073;502254;4188260;502254;4188260;-25828;375028;-25832;375024;;;;;;502143;4188053;
5165;VILLAR, EL                         ;;1;8022;8415;965;;;3;3;0;5306;41039;314087;4164128;314087;4164128;-50622;373617;-50627;373613;;;;;;313976;4163923;I5
5900;ELECTRA FUENSANTA                  ;INT 1931                                                              ;0;59;54970;907;489;;9;9;0;5004;23095;501190;4217130;501190;4217130;-25911;380605;-25915;380601;;;;;;501079;4216923;
5906;REINA, LA                          ;INT 1929                                                              ;0;27213;54970;943;75;;17;17;0;5193;14021;334423;4188967;334423;4188967;-45253;374957;-45258;374952;;;;;;334312;4188761;
5907;BACIA CAMARA-MAYENA                ;INT 1914                                                              ;0;32052;54970;942;42;;2;2;0;5229;14049;296215;4175110;296215;4175110;-51841;374160;-51845;374155;;;;;;296104;4174905;
5911;MOLINO, EL                         ;INT 1948                                                              ;0;743;2115;863;484;;4;9;0;5079;23079;476443;4246659;476443;4246659;-31611;382202;-31615;382157;;;;;;476331;4246452;
5913;                                   ;INT 1931                                                              ;0;2000;2479;904;370;;1;2;0;5118;23005;417244;4247069;417244;4247069;-35650;382202;-35655;382158;;;;;;417133;4246862;
5915;PASADA DEL SALISTRAL               ;INT 1931                                                              ;0;288;408;903;177;;1;1;0;5146;14043;373788;4215634;373788;4215634;-42620;380445;-42625;380440;;;;;;373677;4215428;
5916;VALCHILLON                         ;INT 1924                                                              ;0;2415;54970;923;82;;13;13;0;5167;14021;337461;4187984;337461;4187984;-45048;374927;-45053;374923;;;;;;337350;4187778;
5917;PINOHERMOSO                        ;INT 1928                                                              ;0;58;347;929;1060;2128;1;1;0;5025;18046;521470;4192505;521470;4192505;-24521;375245;-24525;375241;;;;;;521359;4192298;
5918;PUENTE, EL                         ;INT 1931                                                              ;0;1690;1937;921;98;;1;2;0;5222;14036;305678;4197082;305678;4197082;-51236;375400;-51241;375355;;;;;;305567;4196877;
5920;MAITENA                            ;INT 1931                                                              ;0;90;8415;1027;1117;3392;1;7;0;5230;18094;464162;4110854;464162;4110854;-32413;370834;-32417;370829;;;;;;464050;4110648;
5924;MAITENA                            ;INT 1931                                                              ;0;672;54970;880;459;;1;3;0;5202;14071;313849;4233795;313849;4233795;-50736;381356;-50741;381352;;;;;;313738;4233589;
5925;CARMONA-LORA                       ;INT 2019                                                              ;0;1420;1502;963;35;1022;9;9;0;5326;41024;269871;4160809;269871;4160809;-53620;373354;-53624;373349;DATOS DE 2010-11 PENDIENTES DE REVISION                                                             ;;;;;269760;4160604;
5928;JEREZ DEL MARQUESADO               ;INT 1931                                                              ;0;21;28;1028;1286;3144;1;2;0;5036;18108;484930;4113900;484930;4113900;-31011;371015;-31015;371010;;;;;;484818;4113694;
5933;JEREZ DEL MARQUESADO               ;INT 1931                                                              ;0;19;84;1011;1419;3144;1;4;0;5036;18108;483302;4112304;483302;4112304;-31117;370923;-31122;370918;;;;;;483190;4112098;
5949;GUADALMELLATO                      ;INT 1930                                                              ;0;1210;1287;902;212;;12;14;0;5162;14047;353160;4211980;353160;4211980;-44024;380235;-44028;380230;;;;;;353049;4211774;
5950;BREÑA, LA                          ;INT 1968                                                              ;0;1493;1497;962;121;;26;33;2;5206;14005;320306;4188809;320306;4188809;-50230;374942;-50235;374938;;;;;;320195;4188603;
5951;HORNACHUELOS                       ;INT 1947                                                              ;0;1782;1937;942;99;;2;9;0;5222;14036;303099;4189217;303099;4189217;-51414;374943;-51419;374938;;;;;;302988;4189012;
5952;VILLAVERDE                         ;INT 1930                                                              ;0;45823;54970;962;18;;1;1;0;5353;41101;246805;4162685;246805;4162685;-55201;373433;-55205;373428;;;;;;246694;4162480;
5960;PUENTE DE GOR                      ;SIN DATOS                                                             ;0;41;110;993;1222;2223;0;4;0;5042;18085;503222;4136199;503222;4136199;-25749;372219;-25754;372214;;;;;;503111;4135992;
5961;GUADIX                             ;INT 2012. HASTA EL AÑO HIDROLOGICO 2011-12 EL INDICATIVO ERA 5161     ;0;525;605;1011;885;;3;3;0;5036;18089;487383;4130060;487383;4130060;-30833;371859;-30837;371855;DATOS DE 2010-11 PENDIENTES DE REVISION                                                             ;;;;;487271;4129854;A01
5999;HAZA DE LA VIRGEN                  ;SIN DATOS                                                             ;0;10;28;1027;1783;3144;0;2;0;5036;18108;481125;4110208;481125;4110208;-31245;370815;-31250;370810;;;;;;481013;4110002;
