indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih,demarcacion
1268,PUENTELLES                         ,,1,643,1184,56,56.0,2536.0,51,51,30,1128,33047,369784,4797493,369784,4797493,-43621,431906,-43626,431902,,369677,4797288,A078,CANTABRICO
1269,PANES                              ,,1,1147,1184,56,49.0,,6,6,0,1132,33047,371595,4798475,371595,4798475,-43501,431939,-43506,431935,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",371488,4798270,A617,CANTABRICO
1273,CAMARMEÑA                          ,INT 1962                                                              ,0,122,497,55,244.0,2648.0,17,17,0,1129,24116,345740,4786895,345740,4786895,-45357,431306,-45402,431302,,345632,4786690,A350,CANTABRICO
1274,PONCEBOS                           ,,1,270,496,56,239.0,2604.0,27,27,10,1129,33008,351530,4791426,351530,4791426,-44945,431537,-44950,431533,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",351422,4791221,A600,CANTABRICO
1276,MIER                               ,,1,455,496,56,62.0,2648.0,52,52,25,1131,33046,363482,4797361,363482,4797361,-44100,431857,-44105,431853,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",363375,4797156,A080,CANTABRICO
1281,NUEVA DE LLANES                    ,,1,11,14,31,56.0,,4,4,0,1914,33036,342993,4811250,342993,4811250,-45624,432613,-45629,432609,,342885,4811045,A619,CANTABRICO
1284,"MOLININ, EL                        ",INT 2009                                                              ,0,28,34,31,214.0,869.0,23,23,0,1999,33036,343505,4806857,343505,4806857,-45557,432351,-45602,432347,,343397,4806652,A601,CANTABRICO
1285,RALES                              ,,1,99,83,31,35.0,1199.0,34,34,12,1921,33036,347115,4808260,347097,4808271,-45318,432439,-45323,432435,,346989,4808066,A074,CANTABRICO
1292,ARRIONDAS                          ,,1,1177,1246,31,40.0,,6,6,0,1144,33045,323333,4807150,323333,4807150,-51053,432344,-51058,432340,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",323225,4806945,Q101,CANTABRICO
1293,PERVIS                             ,,1,356,1246,55,156.0,,12,11,0,1138,33003,326974,4795371,326974,4795371,-50758,431726,-50803,431722,,326866,4795166,A614,CANTABRICO
1294,CANGAS DE ONIS                     ,,1,139,149,31,68.0,,10,10,0,1141,33012,327779,4802290,327779,4802290,-50730,432111,-50735,432107,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",327671,4802085,N033,CANTABRICO
1295,CANGAS DE ONIS                     ,,1,486,1246,31,58.0,2596.0,89,89,2,1140,33012,327313,4802165,327313,4802165,-50751,432106,-50756,432102,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",327205,4801960,A602,CANTABRICO
1296,SOBREFOZ                           ,,1,36,350,55,659.0,1700.0,27,27,14,1135,33050,323140,4782132,323140,4782132,-51033,431014,-51038,431010,,323032,4781927,A603,CANTABRICO
1297,RIBOTA                             ,,1,54,1246,80,520.0,,9,9,0,1134,24106,333038,4778669,333038,4778670,-50311,430830,-50316,430826,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",332930,4778464,A353,CANTABRICO
1298,SANTILLAN                          ,,1,164,350,55,140.0,,2,2,0,1137,33003,325641,4793903,325641,4793903,-50855,431637,-50900,431633,,325533,4793698,A611,CANTABRICO
1299,SANTIANES DE TORNIN                ,,1,463,1266,55,0.0,,2,2,0,1140,33045,327339,4798194,327339,4798194,-50745,431858,-50750,431854,,327230,4797989,,CANTABRICO
1302,OZANES                             ,,1,486,509,31,33.0,,46,46,17,1143,33045,323115,4804112,323106,4804091,-51059,432205,-51104,432201,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",322998,4803886,A604,CANTABRICO
1303,VILLAMAYOR                         ,,1,379,509,30,96.0,1551.0,50,50,20,1143,33049,314614,4804618,314614,4804618,-51718,432215,-51722,432211,,314506,4804413,A073,CANTABRICO
1304,SALINAS                            ,,1,37,43,13,7.0,,4,3,0,1915,33016,261272,4828817,261272,4828817,-55723,433424,-55728,433420,,261163,4828613,N030,CANTABRICO
1305,VILLAVICIOSA                       ,,1,98,124,30,20.0,,9,9,0,1916,33076,302281,4816091,302281,4816091,-52640,432815,-52645,432811,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",302172,4815887,A623,CANTABRICO
1335,"CONDADO, EL                        ",,1,343,4866,54,366.0,2104.0,59,59,25,1150,33032,298035,4789767,298035,4789767,-52914,431358,-52919,431354,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",297926,4789562,A605,CANTABRICO
1339,SAMA                               ,,1,548,4866,53,213.0,,9,9,0,1152,33031,282639,4797389,282639,4797389,-54046,431750,-54051,431746,,282530,4797184,A618,CANTABRICO
1342,POLA DE SIERO                      ,,1,77,382,29,216.0,,8,8,0,1171,33066,284179,4807632,284179,4807632,-53952,432323,-53957,432319,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",284070,4807427,A621,CANTABRICO
1343,SAN CUCAO                          ,,1,314,382,28,121.0,793.0,50,50,11,1173,33035,265898,4811514,265898,4811514,-55330,432509,-55335,432505,,265789,4811309,A064,CANTABRICO
1344,"FRESNEDA, LA                       ",,1,71,85,29,172.0,,8,8,0,1172,33066,274044,4810154,274044,4810154,-54726,432434,-54731,432430,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",273935,4809949,A622,CANTABRICO
1346,GRADO                              ,INT 1986                                                              ,0,2637,4866,28,54.0,2417.0,50,60,1,1174,33026,739786,4810014,253916,4810241,-60220,432414,-60225,432510,,253807,4810036,,CANTABRICO
1353,CORIAS                             ,,1,531,1850,50,352.0,2007.0,95,106,16,1183,33011,699538,4785395,211993,4788569,-63240,431139,-63245,431135,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",211883,4788364,A606,CANTABRICO
1354,PUENTE DE LA BARCA                 ,,1,1211,1850,51,146.0,,4,3,0,1189,33005,718990,4800444,232483,4802189,-61757,431927,-61802,431923,,232373,4801984,A626,CANTABRICO
1358,PTE. SAN MARTIN                    ,,1,403,405,27,93.0,2194.0,94,94,17,1192,33005,726751,4803016,240410,4804197,-61209,432042,-61214,432038,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",240300,4803992,A068,CANTABRICO
1359,REQUEJO                            ,,1,1705,1850,28,71.0,1932.0,54,54,27,1193,33059,730868,4806050,244735,4806928,-60902,432216,-60907,432212,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",244625,4806723,A615,CANTABRICO
1360,QUINZANAS                          ,,1,1851,1850,28,22.0,,6,6,0,1193,33051,733667,4816772,248300,4817423,-60641,432760,-60646,432756,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",248190,4817218,,CANTABRICO
1363,VEGA DEL REY                       ,,1,232,923,78,352.0,2386.0,38,38,16,1155,33033,270986,4778210,270986,4778210,-54854,430716,-54859,430712,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",270877,4778005,A058,CANTABRICO
1365,MOREDA                             ,INT 2013                                                              ,0,265,375,78,334.0,2115.0,42,42,15,1158,33002,278116,4783215,278116,4783215,-54346,431006,-54351,431002,,278007,4783010,A060,CANTABRICO
