ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
9874;URDALUR;1;LOS DATOS DE 2002-03, 2004-05, 2007-08 Y 2008-09 SON PROVISIONALES SUJETOS A REVISION                                   ;31073;113;562653;4752077;562653;4752077;-21357;425505;-21402;425501;;648.5;9221;25;26;562547;4751868;E074
9875;ITOIZ;1;LOS DATOS DE 2003-04 Y 2006-07 SON PROVISIONALES SUJETOS A REVISION                                                     ;31158;142;634110;4740375;634110;4740375;-12136;424812;-12140;424808;590;588;9195;18;19;634003;4740165;E075
9876;RIALB;1;LOS DATOS DE 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                               ;25042;329;350377;4644854;847802;4651801;11142;414627;11138;415623;432.8;430;9451;23;24;847694;4651590;E076
9877;MONTEARAGON;1;;22150;248;718012;4673631;718012;4673631;-2137;421101;-2141;421057;579.5;579;9620;11;12;717904;4673421;E077
9879;GUARA;1;;22081;248;729260;4679435;729260;4679435;-1319;421358;-1323;421354;;789;9612;22;24;729153;4679225;E079
9880;TABESCAN;1;;25123;182;356720;4722192;848682;4729485;11509;423817;11505;423813;1104.4;1104.4;9471;6;7;848574;4729274;E080
9881;VALDABRA;1;;22125;286;711487;4660769;711487;4660769;-2638;420411;-2642;420407;399;399.1;9988;25;25;711379;4660559;E081
9882;TORROLLON;1;;22136;324;726242;4644689;726242;4644689;-1618;415516;-1623;415512;375.7;375.7;9938;24;25;726134;4644479;E082
9884;LAVERNE;1;REGULADOR DE LA ACEQUIA DE SORA                                                                                         ;50095;284;658324;4662024;658324;4662024;-10508;420537;-10513;420533;400.2;400.2;9950;10;11;658216;4661815;E084
9885;LOTETA, LA;1;;50118;353;639161;4631980;639161;4631980;-11928;414936;-11932;414932;288;18.2;9986;13;13;639053;4631771;E085
9886;VALCOMUNA;1;;44147;469;258508;4551018;762608;4551745;732;410426;728;410422;;133.1;9643;16;17;762499;4551535;
9887;LECHAGO;1;;44050;491;643132;4536603;643132;4536603;-11757;405802;-11801;405758;891;;9276;8;9;643023;4536394;
9889;ENCISO;1;;26058;280;559785;4666273;559785;4666273;-21635;420844;-21640;420840;;;9158;3;3;559677;4666065;E089
9891;PARRAS, LAS;1;;44144;517;675545;4521649;675545;4521649;-5506;404935;-5510;404931;;975;9339;3;4;675436;4521440;E091
9892;TERROBA;1;;26147;242;546992;4679719;546992;4679719;-22549;421603;-22553;421559;772;;9140;3;3;546884;4679511;E092
9893;VALDEPATAO;1;;22077;414;254587;4604419;755005;4604752;327;413311;323;413307;361;;9948;3;3;754897;4604542;E093
9894;FITAS, LAS;1;;22251;357;744292;4631547;744292;4631547;-335;414751;-340;414747;;;9937;5;6;744184;4631337;
9895;SAN SALVADOR;1;DATOS DE RESERVA EN DM3                                                                                                 ;22060;358;265639;4628438;764360;4629485;1050;414621;1045;414617;298;;9941;5;5;764252;4629275;
9897;TRAPA, LA;1;;50152;469;258023;4560558;761468;4561230;658;410934;654;410930;283.1;;9936;10;11;761360;4561020;
9898;PUENTE DE SANTOLEA;1;;44071;519;724396;4514280;724396;4514280;-2032;404453;-2036;404449;596;;9364;5;6;724287;4514071;
9901;MAIRAGA;1;;31192;173;615876;4721751;615876;4721751;-13512;423819;-13517;423815;650.5;650.5;9965;25;25;615769;4721542;E201
9903;SAN GREGORIO;1;;22165;386;253429;4609459;753500;4609700;230;413553;225;413549;;361.8;9933;3;3;753392;4609490;E103
9904;NAGORE;1;;31028;116;632988;4745670;632988;4745670;-12221;425105;-12225;425101;;;9194;2;2;632882;4745460;
9930;CERECEDA;1;LOS DATOS DE 2003-04 Y 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                     ;9238;136;461769;4737321;461769;4737321;-32803;424712;-32807;424708;566.9;566.4;9019;17;19;461662;4737114;
